data,faturamento_efetivado,faturamento_pendente,qtd_vendas_efetivadas,qtd_vendas_pendentes
2026-08-01,1815.0,0.0,12,0
2026-08-02,265.0,0.0,2,0
2026-08-04,1986.0,0.0,11,0
2026-08-05,2876.0,0.0,10,0
2026-08-06,1682.0,0.0,8,0
2026-08-07,1119.0,0.0,7,0
2026-08-08,800.0,0.0,8,0
2026-08-09,36.0,0.0,2,0
2026-08-11,3783.0,0.0,14,0
2026-08-12,3655.0,0.0,14,0
2026-08-13,2050.0,0.0,15,0
2026-08-14,1270.0,0.0,8,0
2026-08-15,1637.0,0.0,8,0
2026-08-16,284.0,0.0,4,0
2026-08-18,1723.0,0.0,8,0
2026-08-19,3586.0,0.0,15,0
2026-08-20,2790.0,0.0,12,0
2026-08-21,3022.0,0.0,11,0
2026-08-22,874.0,0.0,6,0
2026-08-23,191.0,0.0,0,0
2026-08-25,2324.0,0.0,15,0
2026-08-26,5137.0,0.0,16,0
2026-08-27,1671.0,0.0,12,0
2026-08-28,1545.0,0.0,7,0
2026-08-29,1722.0,0.0,8,0
2026-08-30,31.0,0.0,0,0
2026-09-01,2022.0,0.0,10,0
2026-09-02,4617.0,0.0,16,0
2026-09-03,1748.0,0.0,13,0
2026-09-04,1518.0,0.0,8,0
2026-09-05,1168.0,0.0,8,0
2026-09-06,140.0,0.0,0,0
2026-09-08,4134.0,0.0,15,0
2026-09-09,3167.0,0.0,15,0
2026-09-10,1915.0,0.0,10,0
2026-09-11,1130.0,0.0,6,0
2026-09-12,1211.0,0.0,8,0
2026-09-13,289.0,0.0,3,0
2026-09-15,2662.0,0.0,11,0
2026-09-16,5526.0,0.0,19,0
2026-09-17,2202.0,0.0,11,0
2026-09-18,1491.0,0.0,8,0
2026-09-19,1362.0,0.0,8,0
2026-09-20,141.0,0.0,1,0
2026-09-22,3253.0,0.0,14,0
2026-09-23,4027.0,0.0,10,0
2026-09-24,1986.0,0.0,10,0
2026-09-25,440.0,0.0,3,0
2026-09-26,1107.0,0.0,8,0
2026-09-27,55.0,0.0,0,0
2026-09-29,1712.0,0.0,10,0
2026-09-30,5543.0,0.0,18,0
2026-10-01,2049.0,0.0,12,0
2026-10-02,1898.0,0.0,11,0
2026-10-03,1503.0,0.0,8,0
2026-10-04,161.0,0.0,1,0
2026-10-06,3130.0,0.0,16,0
2026-10-07,4956.0,0.0,14,0
2026-10-08,1523.0,0.0,9,0
2026-10-09,1975.0,0.0,10,0
2026-10-10,872.0,0.0,9,0
2026-10-11,276.0,0.0,2,0
2026-10-13,1904.0,0.0,11,0
2026-10-14,5663.0,0.0,16,0
2026-10-15,2137.0,0.0,10,0
2026-10-16,1769.0,0.0,10,0
2026-10-17,1691.0,0.0,8,0
2026-10-20,2384.0,0.0,16,0
2026-10-21,3298.0,0.0,12,0
2026-10-22,2596.0,0.0,14,0
2026-10-23,1693.0,0.0,8,0
2026-10-24,1208.0,0.0,4,0
2026-10-25,107.0,0.0,2,0
2026-10-27,2346.0,0.0,8,0
2026-10-28,2794.0,0.0,10,0
2026-10-29,2393.0,0.0,10,0
2026-10-30,2162.0,0.0,8,0
2026-10-31,1992.0,0.0,8,0
2026-11-01,371.0,0.0,2,0
2026-11-03,3068.0,0.0,10,0
2026-11-04,3902.0,0.0,18,0
2026-11-05,2693.0,0.0,14,0
2026-11-06,2411.0,0.0,6,0
2026-11-07,2076.0,0.0,10,0
2026-11-08,86.0,0.0,2,0
2026-11-10,2803.0,0.0,12,0
2026-11-11,5513.0,0.0,14,0
2026-11-12,1954.0,0.0,8,0
2026-11-13,3833.0,0.0,9,0
2026-11-14,958.0,0.0,6,0
2026-11-17,2001.0,0.0,9,0
2026-11-18,3007.0,0.0,17,0
2026-11-19,600.0,0.0,6,0
2026-11-20,14.0,0.0,0,0
2026-11-21,2765.0,0.0,8,0
2026-11-22,103.0,0.0,1,0
2026-11-24,2059.0,0.0,8,0
2026-11-25,3582.0,0.0,12,0
2026-11-26,2116.0,0.0,10,0
2026-11-27,2189.0,0.0,10,0
2026-11-28,806.0,0.0,4,0
2026-11-29,32.0,0.0,1,0
2026-12-01,2232.0,0.0,12,0
2026-12-02,3661.0,0.0,11,0
2026-12-03,1816.0,0.0,10,0
2026-12-04,1568.0,0.0,8,0
2026-12-05,1403.0,0.0,6,0
2026-12-06,226.0,0.0,2,0
2026-12-08,4019.0,0.0,13,0
2026-12-09,7455.0,0.0,18,0
2026-12-10,124.0,0.0,1,0
2026-12-13,3315.0,0.0,8,0
2026-12-15,1991.0,0.0,10,0
