data,indice_vendas_efetivadas,indice_vendas_com_pendente
2026-08-01,90.0,90.0
2026-08-02,13.1,13.1
2026-08-04,98.5,98.5
2026-08-05,142.6,142.6
2026-08-06,83.4,83.4
2026-08-07,55.4,55.4
2026-08-08,39.6,39.6
2026-08-09,1.8,1.8
2026-08-11,187.5,187.5
2026-08-12,181.1,181.1
2026-08-13,101.6,101.6
2026-08-14,62.9,62.9
2026-08-15,81.1,81.1
2026-08-16,14.1,14.1
2026-08-18,85.4,85.4
2026-08-19,177.7,177.7
2026-08-20,138.3,138.3
2026-08-21,149.8,149.8
2026-08-22,43.3,43.3
2026-08-23,9.5,9.5
2026-08-25,115.2,115.2
2026-08-26,254.6,254.6
2026-08-27,82.8,82.8
2026-08-28,76.6,76.6
2026-08-29,85.4,85.4
2026-08-30,1.5,1.5
2026-09-01,100.2,100.2
2026-09-02,228.8,228.8
2026-09-03,86.6,86.6
2026-09-04,75.2,75.2
2026-09-05,57.9,57.9
2026-09-06,6.9,6.9
2026-09-08,204.9,204.9
2026-09-09,157.0,157.0
2026-09-10,94.9,94.9
2026-09-11,56.0,56.0
2026-09-12,60.0,60.0
2026-09-13,14.3,14.3
2026-09-15,131.9,131.9
2026-09-16,273.9,273.9
2026-09-17,109.1,109.1
2026-09-18,73.9,73.9
2026-09-19,67.5,67.5
2026-09-20,7.0,7.0
2026-09-22,161.2,161.2
2026-09-23,199.6,199.6
2026-09-24,98.5,98.5
2026-09-25,21.8,21.8
2026-09-26,54.9,54.9
2026-09-27,2.7,2.7
2026-09-29,84.9,84.9
2026-09-30,274.7,274.7
2026-10-01,101.6,101.6
2026-10-02,94.1,94.1
2026-10-03,74.5,74.5
2026-10-04,8.0,8.0
2026-10-06,155.1,155.1
2026-10-07,245.6,245.6
2026-10-08,75.5,75.5
2026-10-09,97.9,97.9
2026-10-10,43.2,43.2
2026-10-11,13.7,13.7
2026-10-13,94.4,94.4
2026-10-14,280.7,280.7
2026-10-15,105.9,105.9
2026-10-16,87.7,87.7
2026-10-17,83.8,83.8
2026-10-20,118.2,118.2
2026-10-21,163.5,163.5
2026-10-22,128.7,128.7
2026-10-23,83.9,83.9
2026-10-24,59.9,59.9
2026-10-25,5.3,5.3
2026-10-27,116.3,116.3
2026-10-28,138.5,138.5
2026-10-29,118.6,118.6
2026-10-30,107.1,107.1
2026-10-31,98.7,98.7
2026-11-01,18.4,18.4
2026-11-03,152.1,152.1
2026-11-04,193.4,193.4
2026-11-05,133.5,133.5
2026-11-06,119.5,119.5
2026-11-07,102.9,102.9
2026-11-08,4.2,4.2
2026-11-10,138.9,138.9
2026-11-11,273.2,273.2
2026-11-12,96.8,96.8
2026-11-13,190.0,190.0
2026-11-14,47.5,47.5
2026-11-17,99.2,99.2
2026-11-18,149.0,149.0
2026-11-19,29.8,29.8
2026-11-20,0.7,0.7
2026-11-21,137.0,137.0
2026-11-22,5.1,5.1
2026-11-24,102.0,102.0
2026-11-25,177.5,177.5
2026-11-26,104.9,104.9
2026-11-27,108.5,108.5
2026-11-28,39.9,39.9
2026-11-29,1.6,1.6
2026-12-01,110.6,110.6
2026-12-02,181.5,181.5
2026-12-03,90.0,90.0
2026-12-04,77.7,77.7
2026-12-05,69.6,69.6
2026-12-06,11.2,11.2
2026-12-08,199.2,199.2
2026-12-09,369.5,369.5
2026-12-10,6.1,6.1
2026-12-13,164.3,164.3
2026-12-15,98.7,98.7
2026-12-16,145.3,145.3
2026-12-17,130.3,130.3
2026-12-18,51.9,51.9
2026-12-19,57.8,57.8
2026-12-20,4.9,4.9
2026-12-22,114.7,114.7
2026-12-23,239.9,239.9
2026-12-24,92.0,92.0
2026-12-26,70.3,70.3
2026-12-27,0.7,0.7
2026-12-29,54.6,54.6
2026-12-30,157.7,157.7
2026-12-31,6.9,6.9
2027-01-02,7.1,7.1
2027-01-03,2.1,2.1
2027-01-05,87.6,87.6
2027-01-06,143.3,143.3
2027-01-07,177.1,177.1
2027-01-08,121.8,121.8
2027-01-09,66.2,66.2
2027-01-10,1.4,1.4
2027-01-12,79.2,79.2
2027-01-13,223.7,223.7
2027-01-14,162.2,162.2
2027-01-15,120.7,120.7
2027-01-16,102.1,102.1
2027-01-17,13.4,13.4
2027-01-19,66.8,66.8
2027-01-20,239.9,239.9
2027-01-21,137.4,137.4
2027-01-22,109.5,109.5
2027-01-23,102.5,102.5
2027-01-24,0.2,0.2
2027-01-26,67.5,67.5
2027-01-27,239.0,239.0
2027-01-28,84.4,84.4
2027-01-29,134.1,134.1
2027-01-30,37.1,37.1
2027-02-02,75.2,75.2
2027-02-03,208.1,208.1
2027-02-04,118.4,118.4
2027-02-05,23.5,23.5
2027-02-06,162.5,162.5
2027-02-07,4.8,4.8
2027-02-09,90.9,90.9
2027-02-10,182.4,182.4
