data_dt,periodo,dia_semana,cenario,faturamento
2026-12-15,"Antes do Natal
15/12 a 24/12",terça-feira,Efetivado,1991
2026-12-15,"Antes do Natal
15/12 a 24/12",terça-feira,Efetivado + Pendente,1991
2026-12-16,"Antes do Natal
15/12 a 24/12",quarta-feira,Efetivado,2933
2026-12-16,"Antes do Natal
15/12 a 24/12",quarta-feira,Efetivado + Pendente,2933
2026-12-17,"Antes do Natal
15/12 a 24/12",quinta-feira,Efetivado,2629
2026-12-17,"Antes do Natal
15/12 a 24/12",quinta-feira,Efetivado + Pendente,2629
2026-12-18,"Antes do Natal
15/12 a 24/12",sexta-feira,Efetivado,1046
2026-12-18,"Antes do Natal
15/12 a 24/12",sexta-feira,Efetivado + Pendente,1046
2026-12-19,"Antes do Natal
15/12 a 24/12",sábado,Efetivado,1165
2026-12-19,"Antes do Natal
15/12 a 24/12",sábado,Efetivado + Pendente,1165
2026-12-20,"Antes do Natal
15/12 a 24/12",domingo,Efetivado,100
2026-12-20,"Antes do Natal
15/12 a 24/12",domingo,Efetivado + Pendente,100
2026-12-22,"Antes do Natal
15/12 a 24/12",terça-feira,Efetivado,2315
2026-12-22,"Antes do Natal
15/12 a 24/12",terça-feira,Efetivado + Pendente,2315
2026-12-23,"Antes do Natal
15/12 a 24/12",quarta-feira,Efetivado,4841
2026-12-23,"Antes do Natal
15/12 a 24/12",quarta-feira,Efetivado + Pendente,4841
2026-12-24,"Antes do Natal
15/12 a 24/12",quinta-feira,Efetivado,1856
2026-12-24,"Antes do Natal
15/12 a 24/12",quinta-feira,Efetivado + Pendente,1856
2026-12-26,"Entre Natal e Ano Novo
26/12 a 31/12",sábado,Efetivado,1418
2026-12-26,"Entre Natal e Ano Novo
26/12 a 31/12",sábado,Efetivado + Pendente,1418
2026-12-27,"Entre Natal e Ano Novo
26/12 a 31/12",domingo,Efetivado,15
2026-12-27,"Entre Natal e Ano Novo
26/12 a 31/12",domingo,Efetivado + Pendente,15
2026-12-29,"Entre Natal e Ano Novo
26/12 a 31/12",terça-feira,Efetivado,1103
2026-12-29,"Entre Natal e Ano Novo
26/12 a 31/12",terça-feira,Efetivado + Pendente,1103
2026-12-30,"Entre Natal e Ano Novo
26/12 a 31/12",quarta-feira,Efetivado,3183
2026-12-30,"Entre Natal e Ano Novo
26/12 a 31/12",quarta-feira,Efetivado + Pendente,3183
2026-12-31,"Entre Natal e Ano Novo
26/12 a 31/12",quinta-feira,Efetivado,140
2026-12-31,"Entre Natal e Ano Novo
26/12 a 31/12",quinta-feira,Efetivado + Pendente,140
2027-01-02,"Ano Novo e primeiros dias
01/01 a 07/01",sábado,Efetivado,144
2027-01-02,"Ano Novo e primeiros dias
01/01 a 07/01",sábado,Efetivado + Pendente,144
2027-01-03,"Ano Novo e primeiros dias
01/01 a 07/01",domingo,Efetivado,42
2027-01-03,"Ano Novo e primeiros dias
01/01 a 07/01",domingo,Efetivado + Pendente,42
2027-01-05,"Ano Novo e primeiros dias
01/01 a 07/01",terça-feira,Efetivado,1768
2027-01-05,"Ano Novo e primeiros dias
01/01 a 07/01",terça-feira,Efetivado + Pendente,1768
2027-01-06,"Ano Novo e primeiros dias
01/01 a 07/01",quarta-feira,Efetivado,2891
2027-01-06,"Ano Novo e primeiros dias
01/01 a 07/01",quarta-feira,Efetivado + Pendente,2891
2027-01-07,"Ano Novo e primeiros dias
01/01 a 07/01",quinta-feira,Efetivado,3572
2027-01-07,"Ano Novo e primeiros dias
01/01 a 07/01",quinta-feira,Efetivado + Pendente,3572
