cenario,dia_mes,indice_medio,ocorrencias
Efetivado,1,92.83,10
Efetivado,2,115.37272727272727,11
Efetivado,3,98.07272727272728,11
Efetivado,4,92.9090909090909,11
Efetivado,5,79.45,10
Efetivado,6,96.4,12
Efetivado,7,100.31,10
Efetivado,8,127.82727272727273,11
Efetivado,9,109.38181818181818,11
Efetivado,10,84.66666666666667,12
Efetivado,11,103.23,10
Efetivado,12,95.36666666666667,9
Efetivado,13,103.68333333333334,12
Efetivado,14,119.3,9
Efetivado,15,96.95,10
Efetivado,16,105.72727272727272,11
Efetivado,17,90.0909090909091,11
Efetivado,18,130.35555555555555,9
Efetivado,19,87.92,10
Efetivado,20,82.83333333333334,12
Efetivado,21,102.52222222222223,9
Efetivado,22,102.37,10
Efetivado,23,120.74,10
Efetivado,24,99.2909090909091,11
Efetivado,25,99.4,9
Efetivado,26,107.47,10
Efetivado,27,91.26666666666667,12
Efetivado,28,99.3,9
Efetivado,29,74.67999999999999,10
Efetivado,30,111.78888888888889,9
Efetivado,31,77.18,5
Efetivado + Pendente,1,92.83,10
Efetivado + Pendente,2,115.37272727272727,11
Efetivado + Pendente,3,98.07272727272728,11
Efetivado + Pendente,4,92.9090909090909,11
Efetivado + Pendente,5,79.45,10
Efetivado + Pendente,6,96.4,12
Efetivado + Pendente,7,100.31,10
Efetivado + Pendente,8,127.82727272727273,11
Efetivado + Pendente,9,109.38181818181818,11
Efetivado + Pendente,10,84.66666666666667,12
Efetivado + Pendente,11,103.23,10
Efetivado + Pendente,12,95.36666666666667,9
Efetivado + Pendente,13,103.68333333333334,12
Efetivado + Pendente,14,119.3,9
Efetivado + Pendente,15,96.95,10
Efetivado + Pendente,16,105.72727272727272,11
Efetivado + Pendente,17,90.0909090909091,11
Efetivado + Pendente,18,130.35555555555555,9
Efetivado + Pendente,19,87.92,10
Efetivado + Pendente,20,82.83333333333334,12
Efetivado + Pendente,21,102.52222222222223,9
Efetivado + Pendente,22,102.37,10
Efetivado + Pendente,23,120.74,10
Efetivado + Pendente,24,99.2909090909091,11
Efetivado + Pendente,25,99.4,9
Efetivado + Pendente,26,107.47,10
Efetivado + Pendente,27,91.26666666666667,12
Efetivado + Pendente,28,99.3,9
Efetivado + Pendente,29,74.67999999999999,10
Efetivado + Pendente,30,111.78888888888889,9
Efetivado + Pendente,31,77.18,5
