cenario,ano,mes,indice_medio,ano_mes
Efetivado,2026,8,91.26153846153846,2026-08-01
Efetivado,2026,9,104.01153846153846,2026-09-01
Efetivado,2026,10,103.86153846153846,2026-10-01
Efetivado,2026,11,101.06666666666666,2026-11-01
Efetivado,2026,12,104.39166666666667,2026-12-01
Efetivado,2027,1,101.05199999999999,2027-01-01
Efetivado,2027,2,87.53478260869565,2027-02-01
Efetivado,2027,3,106.83636363636363,2027-03-01
Efetivado,2027,4,101.11428571428571,2027-04-01
Efetivado,2027,5,106.38571428571429,2027-05-01
Efetivado,2027,6,100.14545454545454,2027-06-01
Efetivado,2027,7,85.33478260869565,2027-07-01
Efetivado,2027,8,110.68571428571428,2027-08-01
Efetivado,2027,9,96.08333333333333,2027-09-01
Efetivado + Pendente,2026,8,91.26153846153846,2026-08-01
Efetivado + Pendente,2026,9,104.01153846153846,2026-09-01
Efetivado + Pendente,2026,10,103.86153846153846,2026-10-01
Efetivado + Pendente,2026,11,101.06666666666666,2026-11-01
Efetivado + Pendente,2026,12,104.39166666666667,2026-12-01
Efetivado + Pendente,2027,1,101.05199999999999,2027-01-01
Efetivado + Pendente,2027,2,87.53478260869565,2027-02-01
Efetivado + Pendente,2027,3,106.83636363636363,2027-03-01
Efetivado + Pendente,2027,4,101.11428571428571,2027-04-01
Efetivado + Pendente,2027,5,106.38571428571429,2027-05-01
Efetivado + Pendente,2027,6,100.14545454545454,2027-06-01
Efetivado + Pendente,2027,7,85.33478260869565,2027-07-01
Efetivado + Pendente,2027,8,110.68571428571428,2027-08-01
Efetivado + Pendente,2027,9,96.08333333333333,2027-09-01
