cenario,dia_mes,faturamento_medio,ocorrencias
Efetivado,1,1872.9,10
Efetivado,2,2327.909090909091,11
Efetivado,3,1979.090909090909,11
Efetivado,4,1874.7272727272727,11
Efetivado,5,1603,10
Efetivado,6,1945.0833333333333,12
Efetivado,7,2023.7,10
Efetivado,8,2579.4545454545455,11
Efetivado,9,2206.7272727272725,11
Efetivado,10,1708.1666666666667,12
Efetivado,11,2082.9,10
Efetivado,12,1924.4444444444443,9
Efetivado,13,2091.75,12
Efetivado,14,2406.8888888888887,9
Efetivado,15,1956.4,10
Efetivado,16,2133.3636363636365,11
Efetivado,17,1817.5454545454545,11
Efetivado,18,2629.8888888888887,9
Efetivado,19,1773.4,10
Efetivado,20,1671.25,12
Efetivado,21,2068.777777777778,9
Efetivado,22,2065.5,10
Efetivado,23,2436,10
Efetivado,24,2003.2727272727273,11
Efetivado,25,2005.7777777777778,9
Efetivado,26,2167.9,10
Efetivado,27,1841.5,12
Efetivado,28,2003.6666666666667,9
Efetivado,29,1506.5,10
Efetivado,30,2255.8888888888887,9
Efetivado,31,1557.4,5
Efetivado + Pendente,1,1872.9,10
Efetivado + Pendente,2,2327.909090909091,11
Efetivado + Pendente,3,1979.090909090909,11
Efetivado + Pendente,4,1874.7272727272727,11
Efetivado + Pendente,5,1603,10
Efetivado + Pendente,6,1945.0833333333333,12
Efetivado + Pendente,7,2023.7,10
Efetivado + Pendente,8,2579.4545454545455,11
Efetivado + Pendente,9,2206.7272727272725,11
Efetivado + Pendente,10,1708.1666666666667,12
Efetivado + Pendente,11,2082.9,10
Efetivado + Pendente,12,1924.4444444444443,9
Efetivado + Pendente,13,2091.75,12
Efetivado + Pendente,14,2406.8888888888887,9
Efetivado + Pendente,15,1956.4,10
Efetivado + Pendente,16,2133.3636363636365,11
Efetivado + Pendente,17,1817.5454545454545,11
Efetivado + Pendente,18,2629.8888888888887,9
Efetivado + Pendente,19,1773.4,10
Efetivado + Pendente,20,1671.25,12
Efetivado + Pendente,21,2068.777777777778,9
Efetivado + Pendente,22,2065.5,10
Efetivado + Pendente,23,2436,10
Efetivado + Pendente,24,2003.2727272727273,11
Efetivado + Pendente,25,2005.7777777777778,9
Efetivado + Pendente,26,2167.9,10
Efetivado + Pendente,27,1841.5,12
Efetivado + Pendente,28,2003.6666666666667,9
Efetivado + Pendente,29,1506.5,10
Efetivado + Pendente,30,2255.8888888888887,9
Efetivado + Pendente,31,1557.4,5
