cenario,ano,mes,faturamento,ano_mes
Efetivado,2026,8,47874,2026-08-01
Efetivado,2026,9,54566,2026-09-01
Efetivado,2026,10,54480,2026-10-01
Efetivado,2026,11,48942,2026-11-01
Efetivado,2026,12,50554,2026-12-01
Efetivado,2027,1,50970,2027-01-01
Efetivado,2027,2,40620,2027-02-01
Efetivado,2027,3,47421,2027-03-01
Efetivado,2027,4,42838,2027-04-01
Efetivado,2027,5,45079,2027-05-01
Efetivado,2027,6,44451,2027-06-01
Efetivado,2027,7,39600,2027-07-01
Efetivado,2027,8,46901,2027-08-01
Efetivado,2027,9,23267,2027-09-01
Efetivado + Pendente,2026,8,47874,2026-08-01
Efetivado + Pendente,2026,9,54566,2026-09-01
Efetivado + Pendente,2026,10,54480,2026-10-01
Efetivado + Pendente,2026,11,48942,2026-11-01
Efetivado + Pendente,2026,12,50554,2026-12-01
Efetivado + Pendente,2027,1,50970,2027-01-01
Efetivado + Pendente,2027,2,40620,2027-02-01
Efetivado + Pendente,2027,3,47421,2027-03-01
Efetivado + Pendente,2027,4,42838,2027-04-01
Efetivado + Pendente,2027,5,45079,2027-05-01
Efetivado + Pendente,2027,6,44451,2027-06-01
Efetivado + Pendente,2027,7,39600,2027-07-01
Efetivado + Pendente,2027,8,46901,2027-08-01
Efetivado + Pendente,2027,9,23267,2027-09-01
